S	BETX	BETY	DX	DPX	ALFX	ALFY	MUX	MUY
-6.76	31.95218468	13.07128525	-0.00701814	1.52E-03	11.60008144	-2.721421957	-0.214346198	-0.126564656
-6.75	31.85139084	13.05648708	-0.00701672	1.50E-03	11.50237846	-2.675961018	-0.214294462	-0.126446818
-6.74	31.74769211	13.04290009	-0.007014999	1.48E-03	11.38524532	-2.620505095	-0.214242248	-0.126328622
-6.73	31.64122581	13.03044891	-0.007012992	1.45E-03	11.24979305	-2.555624247	-0.214190511	-0.126210187
-6.72	31.53225327	13.01907349	-0.007010722	1.42E-03	11.09728146	-2.481966496	-0.214138297	-0.126091693
-6.71	31.42088127	13.0086937	-0.007008202	1.39E-03	10.92875671	-2.400072575	-0.214085845	-0.125972901
-6.7	31.30736542	12.9992466	-0.007005454	1.35E-03	10.74550629	-2.310600758	-0.214033393	-0.12585399
-6.69	31.1918087	12.9906559	-0.007002492	1.31E-03	10.54855251	-2.214081287	-0.213980703	-0.1257349
-6.68	31.07447433	12.98285675	-0.006999339	1.27E-03	10.3392067	-2.111183405	-0.213927774	-0.125615512
-6.67	30.95550537	12.97577477	-0.006996011	1.22E-03	10.11855412	-2.002469063	-0.213875083	-0.125496004
-6.66	30.83503342	12.96933746	-0.006992523	1.18E-03	9.887664795	-1.888490915	-0.213821678	-0.125376318
-6.65	30.71332932	12.96347809	-0.006988897	1.13E-03	9.647878647	-1.76993227	-0.21376851	-0.125256275
-6.64	30.59048462	12.95812416	-0.006985148	1.08E-03	9.400168419	-1.647300124	-0.213714866	-0.12513629
-6.63	30.46677399	12.95320702	-0.006981297	1.03E-03	9.145889282	-1.521284938	-0.21366146	-0.125015949
-6.62	30.34228897	12.94865227	-0.006977359	9.73E-04	8.886002541	-1.392387867	-0.213607339	-0.124895488
-6.61	30.2172966	12.94439507	-0.006973354	9.19E-04	8.621869087	-1.261304379	-0.213553695	-0.124774907
-6.6	30.09188652	12.94035912	-0.0069693	8.64E-04	8.354448319	-1.128531218	-0.213499336	-0.12465397
-6.59	29.9663372	12.93647766	-0.006965215	8.09E-04	8.085103989	-0.994766653	-0.213445215	-0.124533032
-6.58	29.84078217	12.93268013	-0.006961117	7.54E-04	7.81489563	-0.860557258	-0.213390855	-0.124411796
-6.57	29.7153511	12.92889214	-0.006957022	6.99E-04	7.544879913	-0.726449192	-0.213336496	-0.124290381
-6.56	29.59032249	12.92504787	-0.00695295	6.44E-04	7.276422024	-0.593140245	-0.213281659	-0.124168847
-6.55	29.46578789	12.92107391	-0.006948918	5.90E-04	7.010480404	-0.461127758	-0.213226823	-0.124047135
-6.54	29.34201813	12.91690254	-0.006944946	5.36E-04	6.748414993	-0.331107914	-0.213171987	-0.123925184
-6.53	29.21909714	12.91245556	-0.00694105	4.84E-04	6.491189957	-0.203580052	-0.213116912	-0.123802994
-6.52	29.09730339	12.90767288	-0.00693725	4.32E-04	6.240159512	-0.079237334	-0.213061361	-0.123680745
-6.51	28.97672653	12.90247726	-0.00693356	3.83E-04	5.996293545	0.041417778	-0.213005571	-0.123558257
-6.5	28.85763931	12.89680004	-0.006930003	3.35E-04	5.760939598	0.157696307	-0.212950019	-0.12343571
-6.49	28.74017143	12.8905735	-0.006926594	2.89E-04	5.535160065	0.269047499	-0.212894468	-0.123312865
-6.48	28.62446976	12.88371944	-0.006923351	2.45E-04	5.320037365	0.374914825	-0.212838439	-0.123189841
-6.47	28.51079941	12.87617493	-0.006920294	2.04E-04	5.116897583	0.47461915	-0.212782411	-0.123066758
